Iteration,x_0,x_1,x_2,x_3,Error_x0,Error_x1,Error_x2,Error_x3
0,0.6,1.075,0.03125,3.8093749999999997,0.6,1.075,0.03125,3.8093749999999997
1,-0.5615625000000002,2.112421875,-9.832714843749999,1.9375683593750006,1.1615625,1.037421875,9.863964843749999,1.8718066406249991
2,4.0597255859375,3.409489013671875,-8.475479431152346,2.646282073974608,4.6212880859375,1.297067138671875,1.3572354125976531,0.7087137145996074
3,4.206145101928713,4.043314934539795,-10.692713263511656,2.872261282253266,0.14641951599121317,0.6338259208679204,2.2172338323593106,0.22597920827865803
4,5.202003792104721,4.626044327266217,-12.206732452091575,2.8039811402377497,0.995858690176008,0.5827293927264217,1.514019188579919,0.06828014201551635
5,6.0982601945949515,5.074844159553642,-12.803354321488436,2.955309576629632,0.8962564024902306,0.4487998322874249,0.596621869396861,0.1513284363918821
6,6.515742419819266,5.389042312993211,-13.61116872884424,2.997421827425563,0.41748222522431444,0.3141981534395688,0.8078144073558029,0.04211225079593106
7,6.956969324035737,5.640041815634055,-14.120647472355614,3.031664521476481,0.4412269042164709,0.2509995026408438,0.5094787435113748,0.034242694050917954
8,7.2683912519122815,5.827044765628,-14.495132064401535,3.0705401580170584,0.31142192787654466,0.1870029499939454,0.37448459204592055,0.038875636540577574
9,7.49220087625153,5.967529228146985,-14.805018398772305,3.0918060162873573,0.2238096243392489,0.14048446251898472,0.30988633437076984,0.02126585827029892
10,7.672872971190901,6.074930436690316,-15.025853882355987,3.1101209343809044,0.18067209493937053,0.10740120854333135,0.22083548358368255,0.018314918093547128
11,7.805147003199565,6.155688984295628,-15.195615068021068,3.1242758036549008,0.13227403200866394,0.08075854760531165,0.16976118566508092,0.01415486927399634
12,7.9055289075858095,6.216832699014174,-15.325113315493876,3.1343613477938224,0.10038190438624461,0.06114371471854607,0.12949824747280836,0.010085544138921598
13,7.9821362100611735,6.263143667006057,-15.421881780730406,3.1422972291101914,0.07660730247536396,0.04631096799188317,0.09676846523652927,0.00793588131636902
14,8.039616486568267,6.298125756889995,-15.495561184201726,3.148242056796459,0.05748027650709364,0.03498208988393792,0.07367940347132063,0.005944827686267473
15,8.083235356685284,6.324602397886976,-15.551242773175968,3.15271191072941,0.04361887011701704,0.026476640996981438,0.05568158897424169,0.004469853932951295
16,8.116238555108968,6.3446295250494344,-15.593294052099964,3.1561203083681413,0.0330031984236836,0.020027127162458136,0.04205127892399574,0.003408397638731131
17,8.14116872898052,6.359774944406966,-15.62515113084952,3.1586876038780876,0.024930173871553052,0.015145419357531331,0.03185707874955668,0.002567295509946277
18,8.16004399840069,6.371232909383371,-15.649232136811102,3.1606304787066035,0.01887526942016926,0.0114579649764055,0.024081005961582136,0.0019428748285159614
19,8.174317438258388,6.379899300945705,-15.667446720373377,3.1621016680296545,0.014273439857698023,0.008666391562333509,0.018214583562274456,0.0014711893230510142
20,8.18511269275918,6.38645451353754,-15.68122773503532,3.1632133549673194,0.010795254500791884,0.0065552125918353354,0.013781014661942592,0.0011116869376648353
21,8.193279802503213,6.3914130624816545,-15.69164984365795,3.164054592190239,0.008167109744032786,0.004958548944114405,0.010422108622631043,0.0008412372229198439
22,8.199456800739423,6.395163666192443,-15.699533645625836,3.164690925657939,0.006176998236210096,0.0037506037107881696,0.007883801967885518,0.0006363334676997567
23,8.204129197193492,6.398000655020859,-15.705497107209666,3.165172171946166,0.004672396454068917,0.002836988828415876,0.00596346158383021,0.00048124628822687754
24,8.207663504704419,6.400146576100188,-15.710007745405317,3.165536233082504,0.0035343075109270927,0.00214592107932976,0.004510638195650785,0.00036406113633802306
25,8.210336810350475,6.401769756128443,-15.713419687771852,3.165811600934025,0.0026733056460557236,0.0016231800282549003,0.003411942366534859,0.0002753678515210467
26,8.212358935154452,6.40299754086137,-15.71600048914975,3.166019887891675,0.002022124803977121,0.0012277847329267289,0.0025808013778974015,0.00020828695765029437
27,8.213888481402046,6.403926243853654,-15.717952613717054,3.1661774409359156,0.0015295462475943822,0.0009287029922839807,0.0019521245673050913,0.0001575530442403661
28,8.215045434344717,6.404628719511863,-15.719429218210271,3.1662966133311086,0.001156952942670486,0.0007024756582092451,0.0014766044932166267,0.00011917239519299017
29,8.21592056245583,6.405160076231144,-15.720546127560208,3.1663867562050747,0.0008751281111134546,0.0005313567192803959,0.0011169093499372451,9.014287396613696e-05
30,8.216582513527326,6.405561997303005,-15.721390964035201,3.166454940959582,0.0006619510714962473,0.000401921071861544,0.0008448364749931159,6.818475450742767e-05
31,8.217083216842873,6.405866012607546,-15.722030003422892,3.1665065161287353,0.0005007033155468577,0.00030401530454060577,0.0006390393876909428,5.157516915321736e-05
