Iteration,x_0,x_1,x_2,x_3,Error_x0,Error_x1,Error_x2,Error_x3
38,2269529312.9525423,-1988466483.6721087,4715351634.158308,2703446864.6672597,3508212087.09752,3073748901.821205,7288935725.357165,4178959649.2442956
39,-4158255460.5515985,3643289371.9428253,-8639509241.131344,-4953285410.623768,6427784773.504141,5631755855.614934,13354860875.289652,7656732275.291027
40,7618798038.611264,-6675272955.242001,15829404132.143356,9075465793.745184,11777053499.162863,10318562327.184826,24468913373.2747,14028751204.368952
41,-13959245204.584997,12230506942.97396,-29002811222.447205,-16628159629.736904,21578043243.196262,18905779898.21596,44832215354.59056,25703625423.482086
42,25576278042.284386,-22408865120.4881,53139246149.97175,30466291517.94906,39535523246.869385,34639372063.46206,82142057372.41895,47094451147.68596
43,-46861125187.70772,41057760060.05928,-97362293925.45117,-55820670997.217834,72437403229.9921,63466625180.54738,150501540075.4229,86286962515.1669
44,85859455718.88577,-75226466129.4461,178388249118.61502,102275219658.79242,132720580906.59349,116284226189.50539,275750543044.06616,158095890656.01025
45,-157312610854.99298,137830732759.01242,-326844829317.98193,-187389743878.80347,243172066573.87875,213057198888.45853,505233078436.5969,289664963537.5959
46,288229833666.70496,-252534933744.76923,598848570618.7012,343337497619.2782,445542444521.69794,390365666503.7816,925693399936.6831,530727241498.08167
47,-528097773615.9879,462697195387.6305,-1097216760266.3514,-629066607698.0114,816327607282.6929,715232129132.3997,1696065330885.0527,972404105317.2896
48,967586368700.8523,-847758729093.6655,2010332202535.1147,1152582526510.7275,1495684142316.8403,1310455924481.296,3107548962801.4663,1781649134208.7388
49,-1772822034380.864,1553272565098.5173,-3683352042156.2236,-2111774000067.5056,2740408403081.7163,2401031294192.1826,5693684244691.338,3264356526578.2334
50,3248183408250.182,-2845922531088.3037,6748676884697.159,3869214793371.3823,5021005442631.046,4399195096186.821,10432028926853.383,5980988793438.888
51,-5951356233856.052,5214329563461.098,-12364997605186.361,-7089216512911.08,9199539642106.234,8060252094549.401,19113674489883.52,10958431306282.463
52,10904138232434.818,-9553750132495.25,22655280195032.734,12988938007516.102,16855494466290.871,14768079695956.348,35020277800219.094,20078154520427.18
53,-19978678155013.945,17504482702463.88,-41509245661871.08,-23798470491139.72,30882816387448.766,27058232834959.133,64164525856903.81,36787408498655.82
54,36605146835856.5,-32071899569563.58,76053681791279.22,43603810943377.375,56583824990870.445,49576382272027.46,117562927453150.3,67402281434517.09
55,-67068339707766.36,58762475822491.59,-139346365328788.77,-79891366680697.31,103673486543622.86,90834375392055.17,215400047120068.0,123495177624074.69
56,122883326014730.0,-107665233787271.39,255311894197120.0,146377812570921.44,189951665722496.38,166427709609763.0,394658259525908.75,226269179251618.75
57,-225148138195686.1,197265387571148.84,-467785170634263.1,-268194986441211.38,348031464210416.1,304930621358420.25,723097064831383.1,414572799012132.8
58,412518815710689.44,-361431743196652.5,857080969467309.1,491389709462562.7,637666953906375.5,558697130767801.4,1324866140101572.2,759584695903774.0
59,-755821365809130.2,662219087697712.8,-1570352877005901.0,-900329457097173.8,1168340181519819.8,1023650830894365.2,2427433846473210.0,1391719166559736.5
60,1384823953038756.5,-1213324862531171.5,2877217259449648.0,1649593216078317.8,2140645318847886.8,1875543950228884.2,4447570136455549.0,2549922673175491.5
61,-2537289189645873.0,2223066730249433.0,-5271668093361648.0,-3022402252268756.0,3922113142684629.5,3436391592780604.5,8148885352811296.0,4671995468347074.0
62,4648848265317476.0,-4073126530038988.0,9658806403411126.0,5537677583437743.0,7186137454963349.0,6296193260288421.0,1.4930474496772774e+16,8560079835706499.0
63,-8517669283769501.0,7462825791133370.0,-1.7696967920932154e+16,-1.0146191822529002e+16,1.3166517549086976e+16,1.1535952321172358e+16,2.735577432434328e+16,1.5683869405966744e+16
64,1.5606164341337504e+16,-1.3673468864208144e+16,3.242457302699854e+16,1.8589960674295884e+16,2.4123833625107004e+16,2.113629465534151e+16,5.0121540947930696e+16,2.873615249682489e+16
65,-2.8593780450193204e+16,2.505267522152589e+16,-5.940864789426477e+16,-3.4060723857640936e+16,4.41999447915307e+16,3.872614408573403e+16,9.183322092126331e+16,5.265068453193682e+16
66,5.238982895216802e+16,-4.590177825324846e+16,1.08849157140776e+17,6.240642086404237e+16,8.098360940236122e+16,7.095445347477435e+16,1.6825780503504077e+17,9.64671447216833e+16
67,-9.59892023515279e+16,8.41017267887442e+16,-1.994345845269304e+17,-1.1434170868963107e+17,1.4837903130369594e+17,1.3000350504199266e+17,3.082837416677064e+17,1.7674812955367344e+17
68,1.758724384550156e+17,-1.5409207917432778e+17,3.6540616896294534e+17,2.0949809595061914e+17,2.7186164080654352e+17,2.3819380596307197e+17,5.648407534898757e+17,3.2383980464025024e+17
69,-3.2223535408622266e+17,2.8232914793693946e+17,-6.695010729118824e+17,-3.8384464172953434e+17,4.981077925412383e+17,4.364212271112672e+17,1.0349072418748278e+18,5.933427376801535e+17
70,5.904030462941894e+17,-5.1728647054341946e+17,1.2266669933366515e+18,7.03284239009951e+17,9.126384003804122e+17,7.996156184803589e+17,1.896168066248534e+18,1.0871288807394853e+18
71,-1.0817427468863645e+18,9.47777778392699e+17,-2.2475123243621524e+18,-1.2885648699221048e+18,1.672145793180554e+18,1.4650642489361185e+18,3.4741793176988037e+18,1.9918491089320558e+18
72,1.9819805771445875e+18,-1.7365285356710948e+18,4.117916007852387e+18,2.360922272810452e+18,3.063723324030952e+18,2.6843063140637937e+18,6.365428332214539e+18,3.649487142732557e+18
73,-3.6314059137307085e+18,3.181686070245215e+18,-7.54488954916941e+18,-4.325706922764504e+18,5.613386490875296e+18,4.91821460591631e+18,1.1662805557021796e+19,6.686629195574956e+18
74,6.653500575304726e+18,-5.82951909032646e+18,1.3823826955339114e+19,7.925606275630416e+18,1.0284906489035434e+19,9.011205160571676e+18,2.1368716504508522e+19,1.225131319839492e+19
75,-1.2190614587645465e+19,1.0680906938711142e+19,-2.5328162916880572e+19,-1.4521380194695885e+19,1.884411516295019e+19,1.6510426029037603e+19,3.9151989872219685e+19,2.24469864703263e+19
76,2.2335773829509915e+19,-1.9569671402692112e+19,4.640652974146999e+19,2.660622738821661e+19,3.452638841715538e+19,3.0250578341403255e+19,7.173469265835056e+19,4.1127607582912496e+19
77,-4.092384259843378e+19,3.585576028392449e+19,-8.502653783905508e+19,-4.874821307220965e+19,6.32596164279437e+19,5.54254316866166e+19,1.3143306758052507e+20,7.535444046042626e+19
78,7.498110008656848e+19,-6.569530571481204e+19,1.5578652782642076e+20,8.931699496734479e+19,1.1590494268500227e+20,1.0155106599873652e+20,2.4081306566547584e+20,1.3806520803955445e+20
79,-1.3738116983196703e+20,1.2036763852690135e+20,-2.854337347964215e+20,-1.6364754905332734e+20,2.123622699185355e+20,1.860629442417134e+20,4.4122026262284226e+20,2.5296454402067215e+20
80,2.5171124193442103e+20,-2.2053886875019162e+20,5.2297472763890015e+20,2.998367815772761e+20,3.89092411766388e+20,3.40906507277093e+20,8.084084624353216e+20,4.634843306306035e+20
81,-4.611880172054422e+20,4.0407366319431634e+20,-9.581998636007771e+20,-5.4936414328650734e+20,7.128992591398632e+20,6.24612531944508e+20,1.4811745912396773e+21,8.492009248637835e+20
82,8.449935949595083e+20,-7.403480674974324e+20,1.7556239911433979e+21,1.006550831893626e+21,1.3061816121649505e+21,1.1444217306917487e+21,2.713823854744175e+21,1.5559149751801332e+21
83,-1.5482062605380351e+21,1.3564736110593688e+21,-3.2166729670527445e+21,-1.8442131499969099e+21,2.3931998554975434e+21,2.0968216785568011e+21,4.972296958196142e+21,2.850763981890536e+21
84,2.836639992855837e+21,-2.4853453912835747e+21,5.893622455130186e+21,3.378986967029751e+21,4.3848462533938716e+21,3.8418190023429435e+21,9.11029542218293e+21,5.223200117026661e+21
85,-5.197321993952433e+21,4.5536762850480263e+21,-1.07983578061528e+22,-6.191015893892747e+21,8.03396198680827e+21,7.039021676331601e+21,1.6691980261282984e+22,9.570002860922498e+21
86,9.522588688325831e+21,-8.343294168179798e+21,1.9784866132407372e+22,1.1343245230722202e+22,1.4719910682278264e+22,1.2896970453227825e+22,3.058322393856017e+22,1.753426112461495e+22
87,-1.7447388372809172e+22,1.5286672398156397e+22,-3.6250042358685483e+22,-2.0783214672608148e+22,2.6969977061135004e+22,2.3629966566336194e+22,5.6034908491092855e+22,3.212645990333035e+22
88,3.1967290722619197e+22,-2.800840391074664e+22,6.6417713529740184e+22,3.8079227182520614e+22,4.941467909542837e+22,4.329507630890304e+22,1.0266775588842567e+23,5.886244185512876e+22
89,-5.857081038770501e+22,5.131729582444223e+22,-1.2169124181620942e+23,-6.976916543758384e+22,9.053810111032421e+22,7.932569973518886e+22,1.881089553459496e+23,1.0784839262010446e+23
90,1.073140623407643e+23,-9.402409573659686e+22,2.2296398878802376e+23,1.2783180768152157e+23,1.6588487272846933e+23,1.453413915610391e+23,3.4465523060423314e+23,1.976009731191054e+23
91,-1.966219674927857e+23,1.72271949194837e+23,-4.085169939456083e+23,-2.3421479893928642e+23,3.0393602983355e+23,2.6629604493143385e+23,6.31480982733632e+23,3.62046606620808e+23
92,3.602528620897116e+23,-3.1563849933243354e+23,7.484891854039176e+23,4.291308480815612e+23,5.568748295824973e+23,4.879104485272705e+23,1.1570061793495258e+24,6.633456470208476e+23
93,-6.600591291946593e+23,5.78316218783554e+23,-1.3713898539584685e+24,-7.862581084081561e+23,1.0203119912843709e+24,8.939547181159875e+23,2.119879039362386e+24,1.2153889564897175e+24
94,1.2093673635401064e+24,-1.0595971328448811e+24,2.512675090322535e+24,1.4405904767770866e+24,1.8694264927347656e+24,1.637913351628435e+24,3.8840649442810037e+24,2.2268485851852427e+24
95,-2.2158157584767206e+24,1.94140514733394e+24,-4.6037500505808477e+24,-2.639465208164848e+24,3.425183122016827e+24,3.0010022801788213e+24,7.116425140903383e+24,4.0800556849419344e+24
96,4.0598412223904367e+24,-3.55706317926257e+24,8.435039854477388e+24,4.836056254306843e+24,6.275656980867158e+24,5.498468326596511e+24,1.3038789905058235e+25,7.47552146247169e+24
97,-7.438484308980437e+24,6.517289025755923e+24,-1.5454769821321004e+25,-8.860673754090135e+24,1.1498325531370874e+25,1.0074352205018493e+25,2.388980967579839e+25,1.3696730008396978e+25
98,1.3628870141470516e+25,-1.194104633644552e+25,2.831639379904422e+25,1.623462078351587e+25,2.106735445045095e+25,1.8458335362201444e+25,4.377116362036522e+25,2.5095294537606006e+25
99,-2.4970960966983066e+25,2.187851222274135e+25,-5.188159817666015e+25,-2.974524503431846e+25,3.8599831108453584e+25,3.3819558559186867e+25,8.019799197570437e+25,4.597986581783433e+25
