Iteration,x_0,x_1,x_2,x_3,Error_x0,Error_x1,Error_x2,Error_x3
0,0.6,0.625,0.75,1.75,0.6,0.625,0.75,1.75
1,-0.0625,2.04375,-4.66875,3.15625,0.6625,1.4187500000000002,5.41875,1.40625
2,1.8531250000000004,1.57265625,-8.39375,4.053125,1.9156250000000004,0.4710937500000001,3.7250000000000005,0.8968749999999996
3,2.192421875,2.9921875,-12.179101562499998,-0.06660156250000071,0.3392968749999996,1.41953125,3.785351562499997,4.1197265625
4,6.381562499999999,0.7136279296874997,-1.4592089843749978,1.0226074218750014,4.189140624999999,2.2785595703125003,10.719892578125,1.0892089843750021
5,1.0259985351562484,5.740074462890625,-7.026749267578128,-1.3624182128906246,5.355563964843751,5.026446533203126,5.56754028320313,2.385025634765626
6,7.4072860107421885,-0.16505386352539198,2.292132568359375,10.510543823242188,6.38128747558594,5.905128326416017,9.318881835937503,11.872962036132812
7,-5.458449386596681,11.722252990722657,-33.66819655609131,-2.104858665466313,12.86573539733887,11.887306854248049,35.96032912445069,12.6154024887085
8,19.95846539306641,-8.729790942192082,7.701635122299207,14.702501817703247,25.41691477966309,20.45204393291474,41.36983167839052,16.80736048316956
9,-15.172595105075846,23.907804343938835,-52.46828130793572,-26.515252929449083,35.13106049814226,32.63759528613092,60.16991643023493,41.21775474715233
10,46.33357389786244,-30.57060795702339,79.06944079880716,38.79129106056692,61.50616900293829,54.478412300962226,131.53772210674288,65.306543990016
11,-63.91590333984199,64.6545060535312,-133.03357885070002,-56.45763119006308,110.24947723770444,95.22511401055459,212.1030196495072,95.24892225063
12,113.99704348771338,-92.16994045625054,187.78178676417218,120.65328878249643,177.91294682755537,156.82444650978175,320.81536561487223,177.11091997255951
13,-180.58013873987525,169.92215035255478,-393.5018416535876,-182.9896248242985,294.57718222758865,262.0920908088053,581.2836284177597,303.64291360679493
14,329.0908701550139,-275.49264667375417,596.9260347335886,300.18650417887653,509.67100889488916,445.414797026309,990.4278763871762,483.176129003175
